id;year;jan;feb;march;april;may;june;july;aug;sept;oct;nov;dec
27730;1966;88;81;87;72;60;67;70;66;73;78;91;84
27730;1967;83;84;88;79;51;66;65;70;71;81;85;89
27730;1968;86;86;83;65;60;58;74;70;69;82;89;85
27730;1969;72;66;73;73;60;67;69;71;73;81;88;84
27730;1970;82;79;77;79;61;65;67;72;78;87;88;84
27730;1971;85;80;79;72;51;66;74;66;79;85;90;85
27730;1972;76;77;77;77;56;66;58;49;71;85;89;87
27730;1973;73;88;79;73;66;62;72;77;77;84;86;85
27730;1974;77;;79;;;;;;;;;
27730;1975;;;;;;;;;;75;84;87
27730;1976;;;;;;;;;;;;
27730;1977;84;84;80;68;62;69;74;71;77;80;89;85
27730;1978;91;81;89;62;67;70;76;77;83;81;86;79
27730;1979;80;83;88;73;49;55;75;70;83;79;89;89
27730;1980;82;82;78;78;73;72;77;81;81;81;86;90
27730;1981;84;80;79;70;57;62;53;71;84;81;86;85
27730;1982;82;80;77;72;67;70;74;73;73;85;87;89
27730;1983;87;82;79;68;65;72;77;71;71;81;84;83
27730;1984;81;74;77;67;49;68;75;78;75;85;85;80
27730;1985;82;76;74;74;57;74;80;70;77;83;88;86
27730;1986;88;77;80;69;52;68;71;73;80;81;86;82
27730;1986;90;79;79;71;53;66;69;71;79;80;84;81
27730;1987;81;81;72;72;65;74;70;77;87;76;81;83
27730;1987;82;83;73;73;63;73;71;77;88;76;82;86
27730;1988;85;82;77;63;55;71;69;72;75;74;83;87
27730;1988;89;86;79;67;56;72;70;74;77;78;84;85
27730;1989;83;83;77;66;64;72;71;72;73;85;86;87
27730;1989;84;84;77;65;67;70;72;75;74;87;86;86
27730;1990;83;86;74;71;63;72;80;77;85;80;87;84
27730;1990;84;85;76;69;64;74;80;81;88;85;89;85
27730;1991;83;85;75;68;63;68;68;70;78;83;88;87
27730;1991;84;83;76;68;65;70;72;74;79;84;90;88
27730;1992;85;87;82;75;55;58;66;67;77;80;86;82
27730;1992;88;86;80;78;59;62;71;72;76;84;89;85
27730;1993;81;73;76;69;55;70;80;77;79;79;84;90
27730;1993;86;77;81;76;;75;83;84;81;81;85;88
27730;1994;88;79;79;73;72;77;78;80;71;77;85;86
27730;1994;88;80;80;70;70;74;72;;;;;
27730;1995;86;88;79;71;67;70;71;76;75;78;90;81
27730;1996;80;80;74;70;58;72;71;66;76;79;89;80
27730;1997;84;83;76;68;59;71;74;75;82;86;88;86
27730;1998;85;82;77;67;61;63;73;78;77;82;80;81
27730;1999;87;83;71;63;60;59;67;81;81;80;82;86
27730;2000;83;83;76;67;55;71;77;79;81;83;83;91
27730;2001;89;84;77;66;71;74;73;77;77;84;83;80
27730;2002;83;85;69;59;54;58;57;62;74;83;85;81
27730;2003;84;79;78;70;60;75;75;79;78;81;93;86
27730;2004;86;82;77;64;63;74;81;74;77;82;83;86
27730;2005;82;78;71;69;63;74;75;72;75;77;85;89
27730;2006;78;81;77;70;64;70;72;81;81;85;90;87
27730;2007;87;80;76;59;57;61;69;63;79;86;85;87
27730;2008;85;83;78;58;68;70;76;71;76;80;80;85
27730;2009;84;81;77;54;59;71;71;74;74;81;87;82
27730;2010;87;79;75;58;61;62;54;59;74;78;85;88
27730;2011;85;76;74;67;62;62;63;64;80;83;83;88
27730;2012;83;78;78;74;60;71;67;76;73;83;87;82
27730;2013;89;85;73;60;59;66;71;75;88;82;87;89
27730;2014;87;79;71;51;58;64;64;67;70;71;86;91
27730;2015;87;83;67;68;62;71;73;69;71;76;91;89
27730;2016;86;88;79;67;69;70;69;74;83;79;85;89
27730;2017;87;83;79;62;60;72;78;73;79;87;94;96
27730;2018;89;83;67;63;60;58;77;62;68;81;82;95
